,total
2010-01-04 16:00:00-05:00,100000.0
2010-01-05 16:00:00-05:00,100000.0
2010-01-06 16:00:00-05:00,100000.0
2010-01-07 16:00:00-05:00,99990.0008112515
2010-01-08 16:00:00-05:00,98812.17310625149
2010-01-11 16:00:00-05:00,97802.5410812515
2010-01-12 16:00:00-05:00,101167.88319625151
2010-01-13 16:00:00-05:00,99653.4795862515
2010-01-14 16:00:00-05:00,98391.4651862515
2010-01-15 16:00:00-05:00,100536.8691612515
2010-01-19 16:00:00-05:00,99064.55548125149
2010-01-20 16:00:00-05:00,102051.2454312515
2010-01-21 16:00:00-05:00,105322.98375229149
2010-01-22 16:00:00-05:00,105322.98375229149
2010-01-25 16:00:00-05:00,105322.98375229149
2010-01-26 16:00:00-05:00,105322.98375229149
2010-01-27 16:00:00-05:00,105322.98375229149
2010-01-28 16:00:00-05:00,105322.98375229149
2010-01-29 16:00:00-05:00,105322.98375229149
2010-02-01 16:00:00-05:00,105312.45147833199
2010-02-02 16:00:00-05:00,106043.54147733201
2010-02-03 16:00:00-05:00,104727.577895332
2010-02-04 16:00:00-05:00,99756.346455332
2010-02-05 16:00:00-05:00,100341.18836233199
2010-02-08 16:00:00-05:00,99707.573334332
2010-02-09 16:00:00-05:00,102631.877897332
2010-02-10 16:00:00-05:00,101998.278707332
2010-02-11 16:00:00-05:00,105556.158703332
2010-02-12 16:00:00-05:00,103704.09465933198
2010-02-16 16:00:00-05:00,107884.76742271958
2010-02-17 16:00:00-05:00,107884.76742271958
2010-02-18 16:00:00-05:00,107884.76742271958
2010-02-19 16:00:00-05:00,107884.76742271958
2010-02-22 16:00:00-05:00,107884.76742271958
2010-02-23 16:00:00-05:00,107884.76742271958
2010-02-24 16:00:00-05:00,107884.76742271958
2010-02-25 16:00:00-05:00,107884.76742271958
2010-02-26 16:00:00-05:00,107884.76742271958
2010-03-01 16:00:00-05:00,107884.76742271958
2010-03-02 16:00:00-05:00,107884.76742271958
2010-03-03 16:00:00-05:00,107884.76742271958
2010-03-04 16:00:00-05:00,107884.76742271958
2010-03-05 16:00:00-05:00,107884.76742271958
2010-03-08 16:00:00-05:00,107884.76742271958
2010-03-09 16:00:00-05:00,107884.76742271958
2010-03-10 16:00:00-05:00,107884.76742271958
2010-03-11 16:00:00-05:00,107884.76742271958
2010-03-12 16:00:00-05:00,107884.76742271958
2010-03-15 16:00:00-04:00,107884.76742271958
2010-03-16 16:00:00-04:00,107884.76742271958
2010-03-17 16:00:00-04:00,107884.76742271958
2010-03-18 16:00:00-04:00,107884.76742271958
2010-03-19 16:00:00-04:00,107884.76742271958
2010-03-22 16:00:00-04:00,107884.76742271958
2010-03-23 16:00:00-04:00,107884.76742271958
2010-03-24 16:00:00-04:00,107884.76742271958
2010-03-25 16:00:00-04:00,107884.76742271958
2010-03-26 16:00:00-04:00,107884.76742271958
2010-03-29 16:00:00-04:00,107884.76742271958
2010-03-30 16:00:00-04:00,107884.76742271958
2010-03-31 16:00:00-04:00,107884.76742271958
2010-04-01 16:00:00-04:00,107884.76742271958
2010-04-05 16:00:00-04:00,107884.76742271958
2010-04-06 16:00:00-04:00,107884.76742271958
2010-04-07 16:00:00-04:00,107873.98001739458
2010-04-08 16:00:00-04:00,107917.85576739458
