,EWA,cash
2010-01-04 16:00:00-05:00,0,100000.0
2010-01-05 16:00:00-05:00,0,100000.0
2010-01-06 16:00:00-05:00,0,100000.0
2010-01-07 16:00:00-05:00,-99991.887485,199981.8882962515
2010-01-08 16:00:00-05:00,-101169.71519000002,199981.8882962515
2010-01-11 16:00:00-05:00,-102179.347215,199981.8882962515
2010-01-12 16:00:00-05:00,-98814.0051,199981.8882962515
2010-01-13 16:00:00-05:00,-100328.40871,199981.8882962515
2010-01-14 16:00:00-05:00,-101590.42311,199981.8882962515
2010-01-15 16:00:00-05:00,-99445.01913500001,199981.8882962515
2010-01-19 16:00:00-05:00,-100917.33281500002,199981.8882962515
2010-01-20 16:00:00-05:00,-97930.642865,199981.8882962515
2010-01-21 16:00:00-05:00,0.0,105322.98375229149
2010-01-22 16:00:00-05:00,0.0,105322.98375229149
2010-01-25 16:00:00-05:00,0.0,105322.98375229149
2010-01-26 16:00:00-05:00,0.0,105322.98375229149
2010-01-27 16:00:00-05:00,0.0,105322.98375229149
2010-01-28 16:00:00-05:00,0.0,105322.98375229149
2010-01-29 16:00:00-05:00,0.0,105322.98375229149
2010-02-01 16:00:00-05:00,105322.73959499999,-10.288116668001749
2010-02-02 16:00:00-05:00,106053.82959400001,-10.288116668001749
2010-02-03 16:00:00-05:00,104737.866012,-10.288116668001749
2010-02-04 16:00:00-05:00,99766.634572,-10.288116668001749
2010-02-05 16:00:00-05:00,100351.47647899999,-10.288116668001749
2010-02-08 16:00:00-05:00,99717.861451,-10.288116668001749
2010-02-09 16:00:00-05:00,102642.166014,-10.288116668001749
2010-02-10 16:00:00-05:00,102008.56682400001,-10.288116668001749
2010-02-11 16:00:00-05:00,105566.44682,-10.288116668001749
2010-02-12 16:00:00-05:00,103714.38277599998,-10.288116668001749
2010-02-16 16:00:00-05:00,0.0,107884.76742271958
2010-02-17 16:00:00-05:00,0.0,107884.76742271958
2010-02-18 16:00:00-05:00,0.0,107884.76742271958
2010-02-19 16:00:00-05:00,0.0,107884.76742271958
2010-02-22 16:00:00-05:00,0.0,107884.76742271958
2010-02-23 16:00:00-05:00,0.0,107884.76742271958
