,amount,price,symbol
2010-01-07 16:00:00-05:00,-6835,14.629391,EWA
2010-01-21 16:00:00-05:00,6835,13.847760000000001,EWA
2010-02-01 16:00:00-05:00,7919,13.300004999999999,EWA
2010-02-16 16:00:00-05:00,-7919,13.626195999999998,EWA
2010-04-07 16:00:00-04:00,-7125,15.140217999999999,EWA
2010-04-19 16:00:00-04:00,7125,14.967894,EWA
2010-04-28 16:00:00-04:00,7463,14.617080999999999,EWA
2010-06-10 16:00:00-04:00,-7463,12.629157000000001,EWA
2010-06-16 16:00:00-04:00,-7260,12.979968,EWA
2010-06-28 16:00:00-04:00,7260,12.528355,EWA
2010-08-03 16:00:00-04:00,-7124,13.684248,EWA
2010-08-11 16:00:00-04:00,7124,12.982012,EWA
2010-10-11 16:00:00-04:00,-6668,15.368364999999999,EWA
2010-10-19 16:00:00-04:00,6668,14.858778,EWA
2010-11-08 16:00:00-05:00,-6546,16.170030999999998,EWA
2010-11-12 16:00:00-05:00,6546,15.405653,EWA
2011-02-02 16:00:00-05:00,-6877,16.115931,EWA
2011-02-22 16:00:00-05:00,6877,16.135042000000002,EWA
2011-03-11 16:00:00-05:00,6956,15.912007000000001,EWA
2011-03-23 16:00:00-04:00,-6956,16.026716,EWA
2011-05-06 16:00:00-04:00,6507,17.129148,EWA
2011-05-31 16:00:00-04:00,-6507,17.027191000000002,EWA
2011-07-05 16:00:00-04:00,-6621,16.730701,EWA
2011-07-11 16:00:00-04:00,6621,16.348251,EWA
2011-08-09 16:00:00-04:00,7770,14.578593,EWA
2011-08-23 16:00:00-04:00,-7770,15.161997,EWA
2011-09-26 16:00:00-04:00,8821,13.353447000000001,EWA
2011-10-06 16:00:00-04:00,-8821,13.807205999999999,EWA
2011-10-28 16:00:00-04:00,-7553,16.121374,EWA
2011-11-01 16:00:00-04:00,7553,14.818435000000001,EWA
2011-11-22 16:00:00-05:00,9407,13.988707999999999,EWA
2011-11-30 16:00:00-05:00,-9407,15.077727,EWA
2012-03-08 16:00:00-05:00,9141,15.512335,EWA
2012-03-13 16:00:00-04:00,-9141,15.679495999999999,EWA
2012-04-11 16:00:00-04:00,9384,15.271628,EWA
2012-04-12 16:00:00-04:00,-9384,15.679495999999999,EWA
2012-05-10 16:00:00-04:00,9683,15.191391000000001,EWA
2012-06-06 16:00:00-04:00,-9683,14.382342000000001,EWA
2012-06-20 16:00:00-04:00,-9384,14.837013,EWA
2012-06-25 16:00:00-04:00,9384,14.144794000000001,EWA
2012-07-05 16:00:00-04:00,-9640,15.11418,EWA
2012-07-12 16:00:00-04:00,9640,14.629485999999998,EWA
2012-07-31 16:00:00-04:00,-9501,15.824145999999999,EWA
2012-08-27 16:00:00-04:00,9501,16.110865,EWA
2012-08-31 16:00:00-04:00,9212,16.022121,EWA
2012-09-07 16:00:00-04:00,-9212,16.199612,EWA
2012-09-17 16:00:00-04:00,-9027,16.527292000000003,EWA
2012-09-25 16:00:00-04:00,9027,16.179132,EWA
2012-10-19 16:00:00-04:00,-9085,16.766222,EWA
2012-11-02 16:00:00-04:00,9085,16.520466,EWA
2012-11-19 16:00:00-05:00,9349,16.527292000000003,EWA
2012-11-23 16:00:00-05:00,-9349,16.766222,EWA
2013-01-03 16:00:00-05:00,-8734,17.943827,EWA
